spaceship_name,trip_duration_years,passengers,fuel_tons,food_tons,water_tons,oxygen_tons
Endeavor,200,400,10400,2400,3200,2000
Odyssey,270,300,14850,2700,4050,2700
Pioneer,110,600,7700,1980,2640,1650
Sovereign,190,800,13300,3040,4000,2400
Voyager,220,450,12100,2640,3520,2200
Legacy,130,550,9100,2140,2860,1780
Paragon,140,700,9800,2520,3360,2100
Excelsior,300,350,20900,3150,4725,3150
Constellation,240,550,16800,3960,5280,3300
Atlas,180,650,12600,2340,3120,1950
Aegis,210,750,14700,3150,4200,2625
Harbinger,110,400,7700,1760,2352,1460
Sentinel,290,600,20300,5220,6960,4350
Elysium,270,800,18900,5040,6720,4200
Nova,150,500,10500,2250,3000,1875
Celestial,200,450,11000,2700,3600,2250
Olympus,260,350,14300,2730,4095,2730
Meridian,120,700,8400,2940,3920,2450
Helios,280,550,19600,4620,6160,3850
Aurora,220,800,15400,3520,4704,2940
Goliath,190,600,13300,3420,4560,2850
Genesis,250,400,17500,3000,4500,3000
Seraph,210,700,14700,3430,4760,2975
Apex,130,800,9100,3120,4160,2600
Nimbus,140,750,9800,3150,4200,2625
Artemis,230,550,16100,3850,5390,3465
Reliant,160,450,11200,2160,2880,1800
Triton,300,500,21000,4500,6750,4500
Nemesis,280,600,19600,5040,6720,4200
Lancer,110,750,7700,3300,4400,2750
Archon,150,800,10500,3600,4800,3000
Majesty,200,400,11000,1800,2400,1500
Phoenix,240,700,16800,5880,7840,4900
Aspire,130,650,9100,2140,2860,1780
Vindicator,250,600,17500,4200,5600,3500
Luminous,160,450,11200,1440,1920,1200
Galea,140,700,9800,2940,3920,2450
Utopia,270,800,18900,5040,6720,4200
Aquila,190,600,13300,2850,3800,2375
Infinite,220,750,15400,3300,4400,2750
Tempest,120,800,8400,3360,4480,2800
Talon,300,350,21000,3150,4725,3150
Orion,240,450,16800,3780,5040,3150
Bastion,130,550,9100,2860,3430,2140
Pilgrim,280,650,19600,5460,7280,4550
Eagle,110,400,7700,1760,2352,1460
Mercury,200,800,11000,3200,4266,2660
Vanguard,250,500,17500,3000,4000,2500
Epoch,160,650,11200,2600,3440,2150
Olympus,180,550,12600,2640,3520,2200
Celestial,290,400,20300,3480,4640,2900